truth,mh-auto,otter,yt-auto,yt-manl,zoom-cc,zoom-tr
typhoid,typhoid,typhoid,typhoid,typhoid,typhoid,typhoid
measles,measles,measles,measles,measles,measles,measles
topsails,topsails,topsels,top,topsails,tops,topsils
,,,soles,,,
aisles,aisles,isles,aisles,aisles,aisles,isles
exiles,exiles,exiles,exiles,exiles,exiles,exiles
similes,similes,similes,similes,similes,similes,similes
,and,,,,,
reviles,reviles,reviles,reviles,reviles,reviles,reviles
wholly,,holy,holi,wholly,holy,holy
holly,,holly,holi,holly,,holly
signal,,signal,signal,signal,signal,signal
signing,,signing,signing,signing,signing,signing
thames,,thames,thames,thames,thames,thames
examining,,examining,examining,examining,examining,examining
combining,,combining,combining,combining,,combining
scholar,scholar,scholar,scholar,scholar,scholar,scholar
vicar,vicar,vicar,picker,vicar,vicker,vicar
and,and,and,and,and,and,and
cigar,cigar,cigar,cigar,cigar,cigar,cigar
solar,solar,solar,solar,solar,solar,solar
mica,mica,mica,micah,mica,mica,mica
war,war,war,war,war,war,war
and,and,and,and,and,,and
far,far,far,far,far,,far
from,,from,from,from,from,from
desire,,desire,desire,desire,desire,desire
desirable,,desirable,desirable,desirable,,desirable
admirable,,admirable,admirable,admirable,admirable,admirable
from,,from,for,from,from,
admire,,admirer,admire,admire,admire,admire
,,,,,and,
,,,,,for,
,,,,,the,
,,,,,shop,
,,,,,workflow,
lumber,,lumber,lambor,lumber,lumber,
plumber,,plumber,plumber,plumber,plumber,plumber
bier,,beer,beer,bier,,beer
but,,but,but,but,but,but
brier,,brier,briar,brier,briar,briar
chatham,,chatham,chatham,chatham,chatham,chatham
brougham,,broom,brewer,brougham,brewer,bruham
renown,,renowned,renowned,renown,renowned,renowned
but,,but,,but,but,but
known,,known,unknown,known,known,known
knowledge,,knowledge,knowledge,knowledge,,knowledge
done,,done,tan,done,,done
but,,but,but,but,but,but
gone,,gone,common,gone,common,gone
and,,and,,and,,and
tone,on,tone,tone,tone,tone,tone
one,e,one,one,one,one,one
anemone,anemone,anemone,anemone,anemone,anemone,anemone
balmoral,balmoral,balmoral,balmoral,balmoral,balmoral,balmoral
kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen
lichen,lichen,lichen,likened,lichen,lichen,lichen
laundry,laundry,laundry,laundry,laundry,laundry,laundry
laurel,laurel,laurel,laurel,laurel,laurel,laurel
gertrude,gertrude,gertrude,gertrude,gertrude,gertrude,gertrude
german,german,german,german,german,german,german
wind,wind,wind,wind,wind,wind,wind
and,and,and,and,and,and,and
mind,mind,mind,mind,mind,mind,mind
scene,seen,scene,scene,scene,seen,scene
melpomene,melpomene,melpomene,melpomene,melpomene,malony,melpomene
,,,e,,,
mankind,mankind,mankind,mankind,mankind,man,mankind
tortoise,,tortoise,tortoise,tortoise,taught,tortoise
,,,,,us,
turquoise,,turquoise,turquoise,turquoise,turquoise,turquoise
chamois-leather,,,,chamois-leather,,
,,chamois,chamois,,shammy,chamois
,,leather,leather,,leather,leather
reading,,reading,reading,reading,reading,reading
reading,,reading,reading,reading,,redding
heathen,,reading,even,heathen,heathen,heathen
heather,,moss,heather,heather,heather,heather
this,,,this,this,this,this
phonetic,,,phonetic,phonetic,phonetic,phonetic
labyrinth,,,labyrinth,labyrinth,labyrinth,labyrinth
gives,,,gives,gives,gives,gives
moss,,,most,moss,mosques,moss
gross,,gross,gross,gross,,gross
brook,,brook,brooke,brook,brook,brook
brooch,,brooch,brooch,brooch,brooch,brooch
ninth,,ninth,ninth,ninth,ninth,ninth
plinth,,plinth,plinth,plinth,,plinth
billet,billet,billet,billet,billet,billet,billet
does,does,does,does,does,does,does
not,not,not,not,not,not,not
,rhyme,,,,,
,with,,,,,
end,,end,end,end,end,end
like,,like,like,like,like,like
ballet,ballet,ballet,bali,ballet,,ballet
bouquet,bouquet,bouquet,bouquet,bouquet,bouquet,bouquet
wallet,wallet,wallet,wallet,wallet,wallet,wallet
mallet,mallet,mallet,mallet,mallet,mallet,mallet
chalet,chalet,chalet,chalet,chalet,chalet,chalet
blood,blood,blood,blood,blood,blood,blood
and,and,and,and,and,and,and
flood,flood,flood,flood,flood,flood,flood
are,are,are,are,are,are,are
not,not,not,not,not,not,not
like,like,like,like,like,like,like
food,food,food,food,food,food,food
nor,nor,nor,nor,nor,nor,nor
is,is,is,is,is,is,is
mould,mould,mold,mold,mould,mold,mould
like,like,like,like,like,like,like
should,,should,should,should,should,should
and,and,and,and,and,and,and
would,wood,would,would,would,would,would
banquet,,banquet,banquet,banquet,banquet,banquet
is,,is,is,is,is,is
not,,not,not,not,not,not
nearly,,nearly,nearly,nearly,nearly,nearly
parquet,,parquet,parquet,parquet,parquet,paque
which,,which,which,which,which,which
is,,is,is,is,is,is
said,,said,said,said,said,said
to,,to,to,to,to,to
rime,,rhyme,rhyme,rime,run,rhyme
with,,with,with,with,with,with
darky,,darkey,dark,darky,dark,daque
,,,a,,,
viscous,viscous,viscus,viscous,viscous,viscous,viscous
viscount,viscount,viscount,vai,viscount,viscount,viscount
,,,count,,,
load,load,load,load,load,load,load
and,and,and,and,and,and,and
broad,broad,broad,brought,broad,broad,broad
toward,toward,toward,thwart,toward,toward,board
to,to,to,to,to,to,to
forward,forward,forward,forward,forward,forward,forward
to,to,to,to,to,to,to
reward,reward,reward,reward,reward,reward,reward
and,and,and,and,and,and,and
your,your,your,here,your,your,your
pronunciation's,pronunciations,pronunciations,pronunciations,pronunciation's,pronunciations,pronunciations
ok,okay,ok,okay,o.k,okay,okay
when,when,when,when,when,when,when
you,you,you,you,you,you,you
say,correctly,say,say,say,say,say
correctly,say,correctly,correctly,correctly,correctly,correctly
croquet,croquet,croquet,croquette,croquet,croquet,croquet
rounded,rounded,rounded,rounded,rounded,rounded,rounded
wounded,wounded,wounded,wounded,wounded,wounded,wounded
grieve,grieve,grieve,grieve,grieve,grieve,grieve
and,and,and,and,and,and,and
sieve,sieve,sieve,sieve,sieve,sieve,sieve
friend,friend,friend,friend,friend,friend,friend
and,and,and,and,and,and,and
fiend,fiend,fiend,fiend,fiend,fiend,fiend
alive,alive,alive,alive,alive,alive,alive
and,and,and,and,and,and,and
live,live,live,live,live,live,live
liberty,,liberty,liberty,liberty,liberty,liberty
library,,library,library,library,library,library
heave,,heave,even,heave,he,heave
and,,and,,and,and,and
heaven,,heaven,heaven,heaven,heaven,heaven
rachel,,rachel,rachael,rachel,rachel,rachel
ache,,ache,ache,ache,ake,ache
moustache,,mustache,mustache,moustache,moustache,moustache
eleven,,eleven,eleven,eleven,eleven,eleven
we,,we,we,we,we,we
say,,say,say,say,say,say
hallowed,,hallowed,hallowed,hallowed,hello,hallowed
but,,but,but,but,but,but
allowed,,allowed,allowed,allowed,allowed,allowed
people,,people,people,people,people,people
leopard,,leopard,levered,leopard,,leopard
towed,,toad,toad,towed,toed,toad
but,,but,but,but,but,but
vowed,,vowed,vowed,vowed,vowed,vowed
mark,,mark,marked,mark,mark,mark
the,,the,the,the,the,the
difference,,difference,difference,difference,difference,difference
moreover,,moreover,moreover,moreover,moreover,moreover
between,,between,between,between,between,between
mover,,mover,mover,mover,mover,mover
plover,,plover,plotter,plover,,plover
dover,,dover,dover,dover,dover,dover
leeches,,leeches,leeches,leeches,leeches,leeches
breeches,,britches,breeches,breeches,bridges,britches
wise,,wise,wise,wise,wise,wise
precise,,precise,precise,precise,,precise
chalice,,chalice,chalice,chalice,chalice,chalice
but,,but,but,but,but,but
police,,police,police,police,police,police
and,,and,and,and,and,and
lice,,lice,lice,lice,lice,lice
camel,,camel,camel,camel,camel,camel
constable,,constable,constable,constable,constable,constable
unstable,,unstable,unstable,unstable,unstable,unstable
principle,,principal,principal,principle,principal,principal
disciple,,disciple,disciple,disciple,disciple,disciple
label,,label,label,label,label,label
petal,,petal,petal,petal,petal,petal
penal,,penal,penal,penal,penal,penal
and,,and,and,and,and,and
canal,,canal,canal,canal,canal,canal
wait,,weight,wait,wait,weight,wait
surmise,,surmise,surmise,surmise,surmise,surmise
plait,,plat,platt,plait,platte,platt
promise,,promise,promise,promise,promise,promise
pal,,pal,pell,pal,,pell
suit,,suite,suit,suit,so,suit
suite,,,sweet,suite,sweet,sweet
run,,ruin,ruin,run,ruin,ruin
circuit,,circuit,circuit,circuit,circuit,circuit
conduit,,condit,condit,conduit,condit,condit
rime,,rhyme,rhyme,rime,,rhyme
with,,with,with,with,with,with
shirk,,shirkit,circuit,shirk,circuit,circuit
it,,,,it,,
and,,and,and,and,and,and
beyond,,beyond,beyond,beyond,beyond,beyond
it,,it,it,it,it,it
but,,but,but,but,but,but
it,,it,it,it,it,it
is,,is,is,is,is,is
not,,not,not,not,not,not
hard,,hard,hard,hard,hard,hard
to,,to,to,to,to,to
tell,,tell,tell,tell,tell,tell
why,,why,why,why,why,why
it's,,it's,it's,it's,it's,it's
pall,,paul,pall,pall,paul,paul
mall,,mall,mall,mall,mall,mole
but,,but,but,but,but,but
pall,,pal,pell-mell,pall,palm,pal
mall,,mel,,mall,,mel
muscle,,mussel,muscle,muscle,muscle,muscle
muscular,,muscular,modular,muscular,muscular,muscular
gaol,,jail,jail,gaol,jail,jail
iron,,iron,iron,iron,,iron
timber,,timber,timber,timber,,timber
climber,,climber,climber,climber,climber,climber
bullion,,bullion,bullion,bullion,bullion,bullion
lion,,lion,line,lion,line,line
worm,,worm,worm,worm,worm,worm
and,,and,and,and,and,and
storm,,storm,storm,storm,storm,storm
chaise,,chase,shea's,chaise,chase,chaise
chaos,,chaos,cares,chaos,chaos,chaos
chair,,chair,chair,chair,chair,chair
senator,,senator,senator,senator,senator,senator
spectator,,spectator,spectator,spectator,spectator,spectator
mayor,,mare,mayor,mayor,mayor,mayor
ivy,ivy,iv,ivy,ivy,iv,ivy
privy,privy,privy,privy,privy,privy,privy
famous,famous,famous,famous,famous,famous,famous
clamour,clamour,clamor,clamor,clamour,clamour,clamour
and,and,and,and,and,and,and
enamour,enamor,enamour,enamor,enamour,enamor,enamor
rime,rhyme,rhyme,rhyme,rime,rhyme,rhyme
with,with,with,with,with,with,with
hammer,hammer,hammer,hammer,hammer,hammer,hammer
pussy,,pussy,hussy,pussy,pussy,pussy
hussy,,hussy,,hussy,hussey,hussy
and,,and,and,and,and,and
possess,,possess,possess,possess,possess,possess
desert,,desert,desert,desert,desert,desert
but,,but,but,but,but,but
dessert,,dessert,desert,dessert,desert,desert
address,,address,address,address,address,address
golf,,golf,golf,golf,go,goph
wolf,,wolf,wolf,wolf,wolf,wolf
countenance,,countenance,countenance,countenance,countenance,countenance
lieutenants,,lieutenants,left,lieutenants,lieutenants,lieutenants
,,,tenants,,,
hoist,,hoist,hoist,hoist,hoist,hoist
in,,in,in,in,in,in
lieu,,lieu,lieu,lieu,lieu,lieu
of,,of,of,of,of,of
flags,,flags,flags,flags,flags,flags
left,,left,left,left,left,left
pennants,,pennants,pennants,pennants,pennants,penance
river,river,river,river,river,river,river
rival,rival,rival,rival,rival,rival,rival
tomb,tomb,tomb,tomb,tomb,tomb,tomb
bomb,bomb,bomb,bomb,bomb,,bomb
comb,comb,comb,comb,comb,,comb
doll,doll,doll,dull,doll,,doll
and,and,and,and,and,and,and
roll,roll,roll,roll,roll,role,roll
and,and,and,and,and,and,and
some,sum,summoned,summoned,some,some,summoned
and,and,,,and,and,
home,home,home,home,home,home,home
stranger,stranger,stranger,stranger,stranger,stranger,stranger
does,does,does,does,does,does,does
not,not,not,not,not,not,not
rime,rhyme,rhyme,rhyme,rime,ride,rhyme
with,with,with,with,with,with,with
anger,anger,anger,anger,anger,anger,anger
neither,neither,neither,neither,neither,neither,neither
does,does,does,does,does,does,does
devour,devour,devour,devour,devour,devour,devour
with,with,with,with,with,with,with
clangour,clangour,clangor,clangor,clangour,clanger,clangor
soul,souls,soul,soul,soul,soul,soul
but,but,but,but,but,but,but
foul,foul,fowl,foul,foul,foul,foul
and,,and,and,and,and,and
gaunt,haunt,gaunt,gaunt,gaunt,gaunt,gaunt
but,but,but,but,but,but,but
aunt,ant,ant,ant,aunt,,aren't
font,font,font,font,font,,font
front,front,front,front,front,front,front
wont,want,won't,won't,wont,won't,won't
want,want,want,want,want,want,want
grand,grand,grand,grant,grand,grant,grand
and,and,and,and,and,and,and
grant,grant,grand,grant,grant,grant,grant
shoes,shoes,shoes,shoes,shoes,choose,shoes
goes,goes,goes,goes,goes,those,goes
does,does,those,those,does,,doze
,,no,no,no,know,no
,,you,,you,you're,you're
,,are,you're,are,,
,,wrong,wrong,wrong,wrong,wrong
,,this,this,this,this,this
,,is,is,is,is,is
,,the,the,the,the,the
,,plural,plural,plural,plural,plural
,,of,of,of,of,of
,,dough,dough,doe,dough,doe
now,now,now,now,now,now,now
first,first,first,first,first,first,first
say,say,say,say,say,say,say
finger,finger,finger,finger,finger,finger,finger
and,and,and,and,and,and,and
then,then,then,then,then,then,then
singer,singer,singer,singer,singer,singer,singer
ginger,ginger,ginger,ginger,ginger,ginger,ginger
linger,linger,linger,linger,linger,,linger
real,real,real,real,real,,real
zeal,zeal,zeal,zeal,zeal,,zeal
mauve,move,mauve,move,mauve,,move
gauze,gauze,gauze,gauze,gauze,,gauze
,gouge,,,,,
and,and,and,and,and,and,and
gauge,gauge,gage,gauge,gauge,gauge,gauge
marriage,marriage,marriage,marriage,marriage,marriage,marriage
foliage,foliage,foliage,foliage,foliage,foliage,foliage
mirage,mirage,mirage,mirage,mirage,mirage,mirage
,and,,,,,
age,age,age,age,age,,age
query,query,query,query,query,query,query
does,does,does,does,does,does,does
not,not,not,not,not,not,not
rime,rhyme,rhyme,rhyme,rime,rhyme,rhyme
with,with,with,with,with,with,with
very,very,very,very,very,vary,very
nor,nor,nor,nor,nor,not,nor
does,does,does,does,does,as,does
fury,fury,fury,fury,fury,fury,fury
sound,sound,sound,sound,sound,,sound
like,like,like,like,like,like,like
bury,berry,barry,barry,bury,berry,berry
dost,dust,dust,dust,dost,dust,dust
lost,lost,lost,lost,lost,lost,lost
post,post,post,post,post,post,post
and,and,and,and,and,and,and
doth,d,duff,duff,doth,dust,duff
cloth,cloth,cloth,cloth,cloth,cloth,cloth
loth,loath,loath,loaf,loth,,loath
job,job,job,job,job,job,job
job,knob,job,job,job,job,job
blossom,,blossom,blossom,blossom,blossom,blossom
bosom,bosom,bosom,buzzin,bosom,bosom,bosom
,transom,,,,,
oath,oath,oath,oath,oath,oath,oath
though,though,though,though,though,though,though
the,the,the,the,the,the,the
difference,differences,difference,difference,difference,difference,difference
seems,seem,seems,seems,seems,seems,seems
little,little,little,little,little,little,little
we,we,we,we,we,we,we
say,say,say,say,say,say,say
actual,actual,actual,actual,actual,actual,actual
but,but,but,but,but,but,but
victual,vital,fiddle,fiddle,victual,fiddle,fiddle
seat,,seat,seat,seat,seat,seat
sweat,,sweat,sweat,sweat,sweat,sweat
chaste,,chased,chased,chaste,chaste,chaste
caste,,cast,cast,caste,,cast
leigh,,lee,lee,leigh,lee,lee
eight,,ate,eight,eight,eight,ate
height,,height,height,height,,height
put,,put,put,put,put,put
nut,,not,not,nut,not,not
granite,,granite,granite,granite,granite,granted
but,,but,but,but,but,but
unite,,unite,unite,unite,un,unite
reefer,refer,reefer,reefer,reefer,reefer,reefer
does,does,does,does,does,does,does
not,not,not,not,not,not,not
rime,rhyme,rhyme,rhyme,rime,rhyme,rhyme
with,with,with,with,with,with,with
deafer,defer,defer,dever,deafer,deferred,defer
feoffer,fa,pfeffer,ever,feoffer,,pfeffer
does,does,does,does,does,us,does
and,and,and,and,and,and,and
zephyr,zephyr,zephyr,zephyr,zephyr,zephyr,zephyr
heifer,heifer,heifer,ever,heifer,heifer,heifer
dull,,doll,dull,dull,dull,dull
bull,,bull,pulled,bull,boll,bull
geoffrey,,jeffrey,jeffrey,geoffrey,jeffrey,jeffrey
george,,george,taught,george,george,george
ate,,et,at,ate,et,et
late,,late,late,late,,late
hint,mint,hint,hint,hint,pint,hint
pint,pint,pint,pint,pint,pint,pint
senate,sent,senate,senate,senate,senate,senate
but,and,but,but,but,but,but
sedate,sedate,sedate,sedate,sedate,sedate,sedate
,dull,,,,,
,bull,,,,,
,and,,,,,
,george,,,,,
,et,,,,,
,late,,,,,
scenic,scenic,scenic,scenic,scenic,scenic,scenic
arabic,arabic,arabic,arabic,arabic,arabic,arabic
pacific,pacific,pacific,pacific,pacific,pacific,pacific
science,science,science,science,science,science,science
conscience,conscience,conscience,conscience,conscience,conscience,conscience
scientific,scientific,scientific,scientific,scientific,,scientific
,liberty,,,,,
,library,,,,,
,and,,,,,
,heaven,,,,,
,rachel,,,,,
,aikmustache,,,,,
,eleven,,,,,
,we,,,,,
,say,,,,,
,hallowed,,,,,
,but,,,,,
,allowed,,,,,
,people,,,,,
,leopard,,,,,
,towed,,,,,
,but,,,,,
,vowed,,,,,
,mark,,,,,
,the,,,,,
,differences,,,,,
,moreover,,,,,
,between,,,,,
,mover,,,,,
,cover,,,,,
,clover,,,,,
,leeches,,,,,
,breeches,,,,,
,wise,,,,,
,precise,,,,,
,chalice,,,,,
,but,,,,,
,police,,,,,
,and,,,,,
,lice,,,,,
,camel,,,,,
,constable,,,,,
,unstable,,,,,
,principal,,,,,
,disciple,,,,,
,label,,,,,
,petal,,,,,
,panel,,,,,
,and,,,,,
,canal,,,,,
,weight,,,,,
,surprise,,,,,
,plat,,,,,
,promise,,,,,
,pal,,,,,
,worm,,,,,
,and,,,,,
,storm,,,,,
,shares,,,,,
,chaos,,,,,
,chair,,,,,
,senator,,,,,
,spectator,,,,,
,mayor,,,,,
tour,to,tour,tour,tour,tour,tour
but,but,but,but,but,but,but
our,our,hour,our,our,hour,hour
and,and,and,and,and,and,and
succour,succour,sucker,sucker,succour,soccer,sucker
four,four,four,for,four,for,for
gas,gas,gas,gas,gas,gas,gas
alas,alas,alas,alas,alas,alas,alas
and,and,and,and,and,and,and
arkansas,arkansas,arkansas,arkansas,arkansas,arkansas,arkansas
sea,see,see,see,sea,see,see
idea,idea,idea,idea,idea,idea,idea
guinea,korea,guinea,guinea,guinea,guinea,guinea
area,area,area,area,area,area,area
psalm,psalm,sam,sam,psalm,some,psalm
maria,maria,maria,maria,maria,maria,maria
but,but,but,but,but,but,but
malaria,malaria,malaria,malaria,malaria,malaria,malaria
youth,youth,youth,youth,youth,youth,youth
south,south,south,south,south,south,south
southern,southern,southern,sun,southern,southern,southern
cleanse,cleanse,cleanse,cleanse,cleanse,cleanse,cleanse
and,and,and,,and,and,and
clean,clean,clean,clean,clean,clean,clean
doctrine,doctrine,doctrine,doctrine,doctrine,doctrine,doctrine
turpentine,turpentine,turpentine,turpentine,turpentine,turpentine,turpentine
marine,marine,marine,marine,marine,marine,marine
compare,compare,compare,compare,compare,compare,compare
alien,alien,alien,alien,alien,alien,alien
with,with,with,with,with,with,with
italian,italian,italian,italian,italian,italian,italian
dandelion,dandelion,dandelion,than,dandelion,than,than
,,,the,,the,the
,,,lion,,lion,lion
with,and,with,with,with,with,with
battalion,battalion,battalion,battalion,battalion,battalion,battalion
sally,sally,sally,sally,sally,sally,sally
with,with,with,with,with,with,with
ally,ally,ally,ally,ally,ali,a
,,,,,,lie
yea,i,ye,yayyyyy,yea,ye,ye
ye,why,ye,aye,ye,i,i
,and,,,,,
eye,,i,aye,eye,i,ia
i,,,aye,i,ia,
ay,,,a,ay,,
aye,,a,,aye,,
whey,,way,way,whey,way,way
key,key,ki,key,key,key,key
quay,,ki,key,quay,,key
say,say,say,say,say,say,say
aver,over,a,a,aver,a,ever
,,ver,verb,,verb,
but,but,but,but,but,but,but
ever,ever,ever,ever,ever,ever,ever
fever,fever,fever,fever,fever,fever,fever
neither,neither,neither,neither,neither,neither,neither
leisure,leisure,leisure,letters,leisure,leisure,leisure
skein,skin,gain,gained,skein,,skein
receiver,deceiver,receiver,receiver,receiver,,receiver
never,,never,never,never,never,never
guess,,guess,guess,guess,guess,guess
it,,it,it,it,it,it
is,,is,is,is,is,is
not,,not,not,not,not,not
safe,,safe,safe,safe,safe,safe
we,,we,we,we,we,we
say,,say,say,say,say,say
calves,,cars,car,calves,cars,cars
valves,,valves,valves,valves,valves,valves
half,,half,half,half,half,half
but,,but,but,but,but,but
ralf,,rave,rave,ralf,rave,rave
heron,heron,heron,haren,heron,heron,heron
granary,granary,granary,granary,granary,granary,granary
canary,canary,canary,canary,canary,canary,canary
crevice,crevice,crevice,crevice,crevice,crevice,crevice
and,and,and,and,and,and,and
device,device,device,device,device,device,device
and,and,and,and,and,and,and
eyrie,airy,airy,airy,eyrie,airy,airy
face,face,face,face,face,,face
but,but,but,but,but,but,but
preface,preface,preface,preface,preface,preface,preface
but,not,but,but,but,but,but
efface,efface,efface,a,efface,a,efface
,,,face,,face,
phlegm,phlegm,phlegm,phlegm,phlegm,,phlegm
phlegmatic,phlegmatic,phlegmatic,phlegmatic,phlegmatic,phlegmatic,phlegmatic
ass,a,as,ask,ass,assass,ass
glass,glass,glass,glass,glass,,glass
bass,base,base,base,bass,base,base
large,large,large,large,large,large,large
but,but,but,but,but,but,but
target,target,target,target,target,target,target
gin,in,in,gin,gin,,gin
give,give,give,give,give,give,give
verging,verging,verging,verging,verging,verging,verging
ought,ought,ought,aught,ought,ought,ought
out,out,out,out,out,,out
joust,joust,joost,juiced,joust,juiced,juiced
and,and,and,and,and,and,and
scour,scour,scour,scour,scour,scour,scour
but,,but,but,but,but,but
scourging,scourging,scourging,scourging,scourging,scourging,scourging
ear,ear,ear,ear,ear,ear,ear
but,but,but,but,but,but,but
earn,urn,urn,earn,earn,earn,earn
and,and,and,and,and,and,and
wear,wear,wear,wear,wear,wear,wear
and,and,and,and,and,and,and
tear,tear,tear,tear,tear,tear,tear
do,do,do,do,do,do,do
not,not,not,not,not,not,not
rime,rhyme,rhyme,rhyme,rime,rhyme,rhyme
with,with,with,with,with,with,with
here,here,here,here,here,here,hear
but,but,but,but,but,but,but
ere,air,air,err,ere,air,air
seven,seven,seven,seven,seven,seven,seven
is,is,is,is,is,is,is
right,right,right,right,right,right,right
but,but,but,but,but,but,but
so,so,so,so,so,so,so
is,is,is,is,is,is,is
